slang,formal
fakuy,menghina
falawers,bunga
fallout,rontok
falsu,palsu
famili,keluarga
family,famili
famous,populer
famous ,terkenal
fan,fans
fanati,fanatik
fancy,menyukai
fandom,fans
fanfic,fans
fangirl,fans
fanmeet,penggemar
fannya,fans
fans,fans
fansbase,fans
fansboy,fans
fansign,penggemar
fansnya,fans
fantas,pantas
fantasan,pantas saja
fantasiin,fantasikan
fantastic,fantastis
fantastik,fantastis
fanyaclarisha,fanya ckarisha
far,jauh
farhatabbaslaw,farhat abbas law
fase,terjebak
fashion,gaya
fashionnya,gaya
fasiq,asik
fass,lewat
fast,cepat
fatanik,fanatik
father,ayahanda
fav,favorite
favorit,favorite
favourite,favorite
favourites,favorite
fb,facebook
fck,fuck
fcked,fuck
fckk,fuck
fcx,fuck
fdj,fadiljaidi
fear,adil
fears,adil
feb,februari
february,februari
fee,tarif
feedback,respon
feedsnya,feed
feel,merasa
feeling,merasa
feelingnya,perasaan
feelings,perasaan
feell,hebat
feenya,harga
fesbuk,facebook
fesbukku,facebook
fest,parade
festival,parade
fetish,jimat
ff,fans
ffgenpi,fans
fftv,fans
fhoto,foto
fhotonya,foto
fifis,pipis
fifty,limapuluh
fight,pertarungan
fighting,berjuang
figura,pigura
figure,figur
figureada,figure
fihak,pihak
fikir,pikir
fikiran,pikiran
fikirin,pikirkan
fikirkan,pikirkan
fiks,takut
filaafat,filsafat
filem,film
fillers,pengisi
fillm,film
filmindonesia,film indonesia
filmmalam,film
filmny,film
filmnya,film
filter,saring
finah,fitnah
final,akhir
finally,akhirnya
finallyy,fisik
financial,keuangan
finansial,keuangan
find,menemukan
fine,baik
finta,kepintaran
firs,pertama
first,pertama
firta,sebal
fis,fisika
fit,bugar
fite,bugar
fiti,cocok
fitn,fitnah
fitnag,fitnah
fitneh,fitnah
fits,Cocok
fix,pasti
fixs,pasti
fixx,pasti
flag,bendera
flagship,unggulan
flakes,sindiran
flash,kilatan
flat,datar
flim,film
flimnya,film
flipz,balik
fliss,tolol
fllwr,pengikut
flm,film
flop,gagal
floss,Benang
flow,mengalir
fluffy,lembut
fmi,feed
fnb,bisnis
focus,fokus
fokusnya,fokus
folbackkata,follback
folbek,followers
folky,folk
foll,follower
follbackcukup,cukup
follnya,follower
follo,following
followan,follow
follower,followers
followernya,followers
followersku,follower
followersmu,followers
followersnya,followers
followerssilahkan,followers
followersslot,follower
followlinetoday,follow
followwr,followers
folls,follow
follsnig,follow
follsnya,followersnya
folo,foto
folowernya,followers
folowers,foto
food,makan
foodd,makanan
foong,bohong
football,sepakat
for,untuk
form,membentuk
forment,formula
formnya,membentuk
fot,foto
fotbar,foto
foto,foto
fotograferumur,forografer
fotohanyapemanis,foto
fotoin,foto
fotoku,foto
fotomemek,foto
fotony,foto
fotonya,foto
fotooo,foto
fotooo ,foto
fotosyut,foto
found,ditemukan
fourtwnty,frutasi
foya,ria
foyaku,ria
fp,fans
fpi,organisasi
frame,bingkai
framing,bingkai
franchise,waralaba
free,gratis
fren,kawan
frennnn,kawan
fresh,segar
frestasiii,prestasi
fri,gratis
Friday,jumat
friendly,ramah
friends,kawan
friendsnya,kawan
frik,aneh
from,dari
fsr,fresh
ftho,foto
fto,foto
ftv,film
fucc,fuck
fuckin,fuck
fuckliciousss,fuck
fuckry,fuck
fuckyou,fuck
fuggin,fuck
fuh,kesal
fuhh,kesal
fui,kesal
fuih,kesal
fulan,celebrity
fulang,pulang
fulani,pasti
full,penuh
fullp,penuh
fullpack,penuh
fullpayment,tunai
fully,penuh
fun,menyenangkan
function,fungsi
furnite,mebel
fvrt,bajingan
fwd,ditersangkakan
fyi,informasi
g,tidak
gaa,enggak
gaaak,tidak
gaabis,tidak habis
gaadak,tidak ada
gaadanya,gaada
gaaiisss,kalian
gaal,gaada
gaass,gas
gabakalan,gabakal
gabakaln,tidak mungkin
gabeli,tidak beli
gabenar,tidak benar
gabener,enggak benar
gabenernya,enggak benarnya
gaberenti,tidak berhenti
gabiasa,tidak biasa
gabis,gabisa
gabole,enggak boleh
gabs,gabisa
gabungin,menggabungkan
gachagua,memilih
gacoan,amarah
gacuma,enggak cuma
gada,gaada
gadeng,enggak deng
gadgetin,gadget
gadibales,tidak dibalas
gadibayar,ga dibayar
gadiendorse,ga diendorse
gadil,adil
gadipake,tidak
gadiss,gadis
gadow,gado
gadu,gaduh
gaduhkarenaahok,gagahi
gae,buat
gaenak,tidak enak
gaes,guys
gaes̡,guys
gaess,kawan
gag,tidak
gagahx,gagahnya
gagidu,lagi
gaguna,tidak guna
gahar,sanga
gaharus,enggak harus
gahul,gaul
gaiis,ha
gaikut,tidak ikut
gairqh,gairah
gais,guys
gaiza,gabisa
gajadi,tidak jadi
gaje,gajelas
gajedot,enggak jelas ngentot
gajelasss,gajelas
gajetot,enggak jelas ngentot
gajiah,gaji
gajihnya,gajinya
gajiku,gaji
gak,tidak
gak papa,tidak apa apa
gakan,enggak akan
gakayak,tidak
gakdeng,enggak enggak
gakelamaan,enggak kelamaan
gakerasa,enggak kerasa
gakhabispikir,heran
gakk,tidak
gakl,enggaklah
gakla,enggan
gakliatan,enggak kelihatan
gakmau,gamau
gakpapa,enggak apa apa
gakpernah,enggak pernah
gaksi,enggak sih
gaksie,enggak sih
gaksuka,tidak suka
gakuat,tidak jelas
gakuatttt,ga kuat
gakusah,enggak usah
gakz,tidak
galapremiere,gala premiere
galaxym,galaxy
galerydiskominfometro,gambar
galfok,gagal paham
galo,galau
gamaen,tidak main
gamalu,enggak malu
gamasok,gamasuk
gambarnya,gambar
gambia,gembira
game,permainan
gamenya,permainan
gaming,game
gampangnya,gampang
gamungkin,enggak mungkin
gan,sobat
ganbate,semangat
gandaaaaa,ganda
gandoskui,gangbang
ganemu,tidak ketemu
gang,ganggu
gangerti,enggak mengerti
gangguin,mengganggu
ganteng,ganteng
gantengbs,ganteng
gantengg,ganteng
gantenggg,ganteng
gantengkan,ganteng
gantengs,ganteng
gantengsaya,ganteng
ganteung,ganteng
gantheng,ganteng
gantian,bergantian
gantianyar,ganti baru
gantiin,gantikan
gantikn,menggantikan
gantng,ganteng
ganyadar,tidak sadar
ganyangahok,gapapa
gaonok,ga enak
gapaham,enggak paham
gapain,ngapain
gapap,enggak apa apa
gapapaa,tidak apa
gapapaaa,gapapa
gapapalah,tidak berani
gapapasiee,gapapa
gapape,tidak apa
gapeduli,tidak peduli
gapedulisamastatus,tidak peduli
gapeka,enggak peka
gapenting,tidak penting
gapercaya,tidak percaya
gaperlu,tidak pernah
gapleh,gaple
gaplok,tamparan
gaprgi,enggak pergi
gaptek,gaib
gara,gegara
garagara,gara gara
garangangarangan,garang
garap,mengerjakan
garem,garam
garemin,garami
gas,ayo
gasadar,enggak sadar
gasampe,tidak sampai
gasanggup,tidak sanggup
gaseh,tidak
gasengaja,tidak sengaja
gasi,gasih
gasieee,gasih
gasihhh,ga juga
gasii,gasih
gasik,tidak
gasin,gas
gaspol,gas
gass,gas
gasss,gas
gasuka,tidak suka
gataulah,gatau
gataunya,enggak taunya
gatauu,gatau
gatauuu,tidak tahu
gataw,gatau
gatay,tidak tahu
gatekeeper,penjaga
gatekeeping,penjaga
gatel,gatal
gatot,gagal total
gatse,gates
gatsu,bulan
gaungin,gaungkan
gausa,gausah
gaush,enggak usah
gawatt,gaya
gawe,kerja
gaweni,membuat
gawl,gaul
gawul,gaul
gax,tidak
gayannxa,gayanya
gayany,gayanya
gayax,gayanya
gaye,gaya
gayya,gaya
gazamassacre,geblek
gbisa,gabisa
gbkp,gerindra
gblg,goblok
gblk,goblok
gblkkk,goblok
gblknya,goblok
gbr,gambar
gbs,gabisa
gbung,gabung
gc,gerak cepat
gda,gaada
gde,gede gede
gdg,gudang
gebetan,orangnya
gebrak,memukul
gebukin,gebuk
gebukpki,gede
gece,gerak cepat
gede,besar
gedean,besar
gedeg,kesal
gedein,gedekan
gedenya,gede
geeelaakk,gila
geer,gede rasa
geetoo,begitu
gegadis,gadis
gegayaan,gaya
gegra,gegara
geh,sana
gehh,gih
geje,gaje
gek,tolol
gelaja,gejala
gelange,gelang
gelarperkarasudahdiumumkan,gelas
gelasacrylic,gelas
gelasacryliccrystal,gelas
gelaskopi,gelas
gelasplastik,gelas
gelasplastikmurah,gelas
geleh,jijik
gelem,mau
geleme,mau
gelik,geli
geliyoo,geli
gelo,gila
gelombangbiru,gemas
gelud,berantem
gemana,bagaimana
gemas,lucu
gemay,gemas
gemeessss,gemas
gemes,lucu
gemesh,gemas
gemesiin,menggemaskan
gemesin,menggemaskan
gemess,gemas
gemesshh,gemas
gemesss,gemas
gemeter,gemetar
gemez,gemas
gemezz,gemas
gemmeeezzz,gemas
gemoyy,lucu
gemoyyy,lucu
gempak,gempa
gencar̢,gencar
gendero,genderuwo
genderowo,genderuwo
gendheng,gila
gendong,gendong
gendongan,gendong
gendongannya,gendong
genduut,gendut
geneeee,begini
genepin,genapi
gengges,ganggu
genggg,geng
gengs,kawan
gengss,ha
gengster,penjahat
geni,api
genjat,gencat
genk,geng
genks,genjer genjer
genpi,geng
genshin,uji coba
genshinmanajer,manajer
gentian,gantian
gentlemen,gentleman
geogle,google
geopolitk,geopolitik
gepeng,gelapi
gera,gerak
geraja,gereja
gerakin,gerakan
gerakkn,gerakan
geratis,gratis
gercep,gerak cepat
geridra,partai
gerja,gereja
gerombolam,gerombolan
ges,gas
gesekin,gesekan
geshinmanajer,manajer
gestur,sikapnya
gesture,sikapnya
get,dapat
getel,gatel
gether,bersama
getih,darah
getoo,begitu
getting,jadi
geus,sudah
gg,enggak
gga,enggak
ggak,tidak
ggl,gagal
ghamdi,lonceng
ghiey,lagi
ghiy,lagi
ghosting,hilang
ghr,rumah
ghumayera,tidur
gi,lagi
gibah,gosip
gidi,alat
gift,kado
giftbox,hadiah
gifts,kado
gigi,nagitasalvina
gigih,kukuh
gihh,gih
giitu,begitu
gik,oke
gil,gila
gilaa,gila
gilaaa,gila
gilaaaa,gila
gilaaaaaa,gila
giladong,gila gilaan
gilak,gila
gilakan,gilakan
gilakkk,gila
gilakkkkk,gila
gilakkkkkk,gila
gilani,menggilakan
gile,gila
gilek,gila
giler,gila
gilla,gila
gils,gila
gilsss,gila
gilzz,gila
gima,bagaimana
gimame,bagaimana
giman,gigi mancung
gimana,bagaimana
gimanaa,bagaimana
gimanaaa,bagaimana
gimanapun,bagaimana pun
gimanasi,bagaimana
gimane,gimana
gimanee,gimana
gimik,raut
gimn,bagaimana
gimna,bagaimana
gin,begini
gingsungny,gingsulnya
gini,begini
ginian,begini
ginich,begini
ginii,begini
giniii,begini
ginilah,giniin
gino,gigi nongol
giring,pengiring
girls,gadis
git,gitu
gitchu,gitu
gitcu,gitu
githu,gitu
giti,begitu
giting,ginting
gitu,begitu
gituan,begitu
gitudan,gitu
gitugitu,gitu
gituh,begitu
gituin,begitukan
gitukan,iyain
gitulah,begitulah
gituu,begitu
gituuu,begitu
gituuuu,gitu
give,memberi
giveaway,hadiah
givenchy,diberikan
giveup,give up
gj,tidak jelas
gjls,ga jelas
gk,tidak
gkhianati,mengkhianati
gkk,enggak
gkkan,enggak akan
gkmau,enggak mau
gksalah,enggak salah
gksi,enggak sih
gksiy,bertanya
gla,gila
glam,glamor
glek,gledek
global̢,global
globalmapper,goblok
glojotan,kelojotan
glow,bersinar
glowinc,cerah
glowing,berpendar
glt,Salah
gmana,bagaimana
gmanapun,bagaimana pun
gmau,enggak mau
gmbr,gambar
gmccccc,tipu
gmenstrualcup,menstrual
gmgnya,mengomongnya
gmn,gimana
gmna,bagaimana
gmnaapa,gimana
gmni,bagaimana
gmnn,gimana
gmnsi,bagaimana
gmpang,gampang
gmpg,gampang
gmpng,gampang
gmw,enggak mau
gmz,gemasnya
gn,begini
gndakan,gandakan
gni,begini
gnii,begini
gnti,ganti
gnyngka,enggak menyangka
go,pergi
goa,grupnya
goals,tujuan
goblo,goblok
goblog,goblok
goblogin,goblok
goblokin,goblok
goblokk,goblok
goblokkk,goblok
gobloo,goblok
goblookk,goblok
gobs,goblok
god,tuhan
goestofestivaltamb,gakil
gofut,gofood
gogle,google
goib,ghaib
going,pergi
gokiiill,gila
gokil,gila
gokill,gokil
gokillllll,gokil
gokilnya,gilanya
golput,golongan putih
gomawo,terima kasih
gombal,suka
gombel,gembel
gomong,mengomong
goncengin,membonceng
gone,pergi
gonna,pergi
good,bagus
good luck,beruntung
goodbener,benar
goodlooking,penampilan
goodluck,optimis
goodmood,mood bagus
goodnyacryptoizresearch,cripto
goollnya,tujuan
gore,goreng
goregan,gorengan
goren,goreng
gosah,enggak usah
gose,angsa
gosipin,menggosipkan
gossip,gosip
goublog,goblok
gov,pemerintah
governo,pemerintah
governoor,pemerintah
governor,pemerintah
governour,pemerintah
gowes,mengayuh sepeda
goyangin,goyangkan
gpl,tidak pakai lama
gpny,gapunya
gpp,gapapa
gppalah,enggak apalah
gprnh,gapernah
gr,gede rasa
gra,grab
graaatiiiis,gratis
grabtakesyouthere,grab
graduate,lulus
graham,geraham
grameds,gramedia
graphic,grafik
gratisan,gratis
gratisin,gratis
gratisongkir,gratis
gratiss,gratis
gratisss,gratis
greedy,rakus
green,hijau
greentea,great return march
greenteaa,green tea
greenwood,kayu
greeting,salam
greged,gereget
greget,geregetan
gregetan,geregetan
greja,gereja
gretong,gratis
gretongan,gratisan
grgr,gegara
grieves,berebut
grindr,gerindra
grindra,gerindra
grombolan,gerombolan
grombolanya,gerombolannya
gronbrekeng,grogi
grooup,grup
group,grup
groupnya,grup
growthnya,pertumbuhan
gru,guru
gruduk,gerebek
grundr,green tea
grung,gesek gesekan
grunya,gurunya
gsnya,celebrity
gst,pelayanan
gt,begitu
gta,game
gtau,gatau
gtgt,gitu
gthu,begitu
gtloh,gitu
gtmakanannya,makanan
gto,gerebek
gtop,top
gtr,getaran
gtu,begitu
gtuan,begituan
gtuh,begitu
gtuu,begitu
gtw,gatau
guaa,saya
guak,saya
guan,saya
guanteng,ganteng
gubraak,gubrak
gue,saya
guee,saya
gueee,saya
guemewek,mewek
guess,tamu
gugel,google
guhe,saya
gulingin,gulingkan
gun,guna
gunaa,guna
gunaannya,gunanya
gunain,gunakan
gunakan,memerlukan
gunanyaa,guna
gundhulmu,makian
gungg,gunung
gunungsitoli,gunung sitoli
guoblog,goblok
guobloge,goblok
guoblok,goblok
guoplok,goblok
gur,trik
gurudasar,guru
gurunya,guru
gurupas,guru
gustii,guys
gutlak,berjuang
guw,saya
guwa,saya
guwatel,gatel
guwe,saya
guyon,banyol
guys,kawan
guysss,guys
guyssss,guys
gw,saya
gwa,saya
gwe,saya
gweh,saya
gwelah,saya
gws,cepat sembuh
gx,tidak
gya,gaya
gz,ayo
ha,apa
haaa,ketawa
haaah,heran
haaahaaa,ketawa
haag,lindungi
haahaaa,ketawa
haahaha,tertawa
habaib,habis
habes,habis
habi,habis
habiiss,habis
habisgelapterbitlahterang,habiskan
habisin,habisnya
habisla,habis
hactic,sibuk
hacur,hancur
had,memiliki
hadapin,hadiah
haddeehh,menghela
haddeh,menghela
hadech,astaga
hadeeeeeh,astaga
hadeeeeehhh,astaga
hadeeeh,menghela
hadeeehhh,hadeh
hadeeew,mengeluh
hadeeh,menghela
hadeehh,menghela
hadeehhh,astaga
hadeeuh,hadeh
hadehh,hadeh
hadehhhhh,hadeh
hadekh,menghela
hadeuh,hadeh
hadeuhh,menghela
hadeuuh,menghela
hadeuuhh,menghela
hadh,astaga
hadials,hadiah
hadianya,hadiah
hadie,menghela
hadirr,hadis
hadirrr,hadis
hadist,hadis
hadith,hadisnya
hadits,hafal
haditsnya,hafal
hadoii,menghela
hadu,menghela
haduh,waduh
haduhh,menghela
haduuu,mengeluh
haei,hai
haetda,umpatan
haezi,tidak
hafidz,hai
hafizh,hai
haghaghag,terketawa
hah,heran
haha,ketawa
hahaa,tertawa
hahaah,bahagia
hahaahhaha,tertawa
hahah,tertawa
hahaha,ketawa
hahahaa,tertawa
hahahaah,ketawa
hahahaahah,tertawa
hahahaahaha,ketawa
hahahah,ketawa
hahahaha,ketawa
hahahahaa,tertawa
hahahahah,tertawa
hahahahahaahabababba,tertawa
hahahahahaahahha,tertawa
hahahahahah,tertawa
hahahahahaha,tertawa
hahahahahahaahahahahaha,ketawa
hahahahahahah,tertawa
hahahahahahahaha,tertawa
hahahahahahahahaha,tertawa
hahahahahha,tertawa
hahahahh,ketawa
hahahahhaa,tertawa
hahahahhahaa,tertawa
hahahh,tawa
hahahha,tertawa
hahahhaaha,tawa
hahahhaha,tertawa
hahahhahaha,ketawa
hahahhahahahahahahahahahaha,tertawa
hahahhahahhahahaha,tertawa
hahahsksksjsj,mahal
hahajaaha,tertawa
hahay,tawa
hahh,tertawa
hahha,tertawa
hahhaa,tertawa
hahhaha,tertawa
hahhahah,tertawa
hahhahahah,ketawa
hahhahahaha,tertawa
hahkenapa,kenaoa
haih,menghela
haihh,haiz
haii,hai
haiii,hai
hailah,kalah
hain,adalah
hainsavage,kejam
hair,rambut
haira,hairapalaguitto
haircolor,pewarna
haircoloring,pewarna
haircolorsemarang,pewarna
hairstylist,penata busana
haiz,nangis
haizz,haiz
hajsjjssjhs,tertawa
hakhak,terketawa
hakla,hak haknya
hal,tidak percaya
halaah,kalah
halagh,kalah
halah,tidak percaya
halahh,kalah
halahhh,tidak percaya
halal̢,halaman
halamanya,halaqah
halangin,halnya
halaqoh,halus
hall,aula
halllo,menyapa
hallo,menyapa
hallow,menyapa
halny,halus
haloo,halo
halooo,menyapa
haloooo,halo
halow,menyapa
halu,fatamorgana
haluu,fatamorgana
haluuuuuu,berhayal
hambok,hancur
hamhunianlayak,hakiki
hampasss,hempas
hampers,hadiahnya
hampyr,han geng
hancurin,handuk
hancurkanpartaisetan,hangatkan
hancurkanpks,hangat hangat
hancuuuuuy,hancur
handak,bahan peledak
handeko,tukang
handeu,sudah
handeu ,Handeo
handle,menangani
handmade,buatan
handshake,jabat tangan
handsome,ganteng
hangeng,hancur
hangout,menongkrong
hanjer,kaget
hanjing,anjing
hanna,Hana
hansip,pertahanan sipil
hantaran,berhantaran
hantayudha,hanya
hanyaitusajasimpel,happy irene day
hanyar,hanya
hanyo,hanya
hapa,apa
hapal,hafiz
hape,hp
hapene,handphone
happened,kejadian
happening,terjadi
happiness,kebahagiaan
happy,bahagia
happyireneday,hapus
happywinday,menang
hapusin,haramkan
hapyyy,senang
haq,hakiki
haqiqi,hakiki
haqq,hakiki
haqul,harap
har,setiap
hara,kehuru-haraan
haragain,menghargai
haramin,harap
harapan,impian
hard,sulit
hardcore,keras
hardcover,harepin
harepin,impian
harg,harga
hargain,harga
harganya,harga
hargs,harga
hariiiii,hari
hariini,hari
harinua,harus
haritu,hari
harkis,harga
haru,mengharukan
harusnya,sepatutnya
harusnyaa,harus
haruss,harus
hasana,hasanudin
hasanuddin,hasil
haselhoff,hasselhoff
hashtag,tagar
hashtags,tagar
hasian,kasihan
hasilkerjanya,hasil
hasilnya,hasil
hasilnyaaa,hasil
haslnya,hasil
hassan,hasanah
hastage,tagar
hastagnya,tagar
hat,hati
hata,saivihata
hatasimama,berdoa
hate,benci
haters,benci
hatespeech,benci
hatii,hati
hatiku,hati
hatimu,hati
hatinye,hatinya
hatstag,tagar
hatters,benci
hatujui,tidak tahu
haturnuhunjokowi,terima kasih
hauahahaha,tertawa
haul,mengangkut
hausss,haus
hauzid,hazid
have,punya
hay,hai
hayal,khayal
hayalan,khayalan
hayalanku,khayalanku
hayalanmu,khayalanmu
hayang,sayang
hayo,ayo
hayok,ayo
hayoo,ayo
hayooo,tebak
hayu,ayo
hayuk,ayo
hayukk,ayo
hayuu,ayo
hazard,bahaya
hbis,habis
hbngn,hubungan
hbs,habis
hbskn,habiskan
hbu,bertanya
hdapan,hadapi
hdi,hadiah
hdk,hendak
hdp,hidup
hdpku,hidupku
hdpn,hadi
hdpnya,hidupnya
hduh,menghela
hdup,hidup
hdupmu,hidupmu
he,dia
head,kepala
healing,penyembuhan
healingkuuuuuu,penyembuhan
healthy,sehat
heart,hati
heba,hebat
hebaat,hebat
hebahan,hibahan
hebatnya,hebat
hebatt,hebat
hebohin,dihebohkan
hectic,sibuk
hedehmake,mengeluh
hedeuuhh,menghela
hedon,boros
hee,heran
heechul,heran
heee,marah
heeeeh,aneh
heeh,aneh
heem,berdeham
heh,heran
hehe,lucu
hehee,lucu
heheehe,lucu
heheh,lucu
hehehe,lucu
heheheh,lucu
hehehehe,lucu
hehehehehe,lucu
hehehehhehe,lucu
hehehepsst,menyegir
hehehhee,geli
hehh,tunggu
hei,hai
heii,hai
hejaz,hijau
hekell,hadapan
heleh,kalah
helep,membantu
heli,helikopter
hello,menyapa
helloo,menyapa
hellooooooo,menyapa
hellow,menyapa
helmholtz,helm
helo,menyapa
heloo,menyapa
helow,menyapa
help,bantu
helping,membantu
helps,help
hem,marah
hematt,hemat
hemm,menggeram
hempaass,hempas
hempaskan,menghempaskan
hend,tangan
hengget,risiko
hepi,senang
hepihepinya,senang senang
heppy,hapus
her,heran
hera,heran
herannn,heran
here,sini
herera,Herrera
herjourney,petualangan
hero,peng
hestag,tagar
hestagnya,tagarnya
hesteg,tagar
hestek,hastag
heter,pembenci
heters,pembenci
heuheuheu,kesal
heula,cepat
hey,heran
heyy,menyapa
hfcreations,kreatif
hgga,hingga
hh,menggeram
hha,tertawa
hhaa,tertawa
hhaaa,tertawa
hhaha,ketawa
hhahdkiuefijf,aneh
hhhhh,pasrah
hhmm,menggeram
hi,hai
hianat,khianat
hianati,khianati
hianatin,khianati
hiburanku,hiburan
hide,sembunyi
hidiyah,hidayah
hiduppp,hidup
hidupppp,hidup
hidupx,hidupnya
high,tinggi
highend,mewah
highlights,menyoroti
hih,heran
hihi,ketawa
hihihi,tertawa
hihihihi,tertawa
hihihihihi,tertawa
hihihihihihi,tertawa
hii,hai
hiii,menyapa
hijaabbb,hijab
hijab,kerudung
hijabb,hijab
hijabnya,hijab
hijap,hijab
hiks,menangis
hiksskita,kita
hikz,menangis
hilangin,hilang
hilangv,hilang
hilih,kalah
hiliiiiih,ketidaksetujuan
hilikopternya,helikopter
him,dia
himana,bagaimana
hin,hina
hinapia,hina
hindhu,hindu
hinduon,hindu
hio,itu
hiraukn,hiraukan
hire,diangkat
hiri,hari
hirukpikuk,hiruk pikuk
hishh,haji
history,riwayat
hitle,hitler
hits,populer
hiya,ledekan
hiyo,mengaku
hizi,ini
hjhhsjshshs,astaga
hjsdsjds,aneh
hjshshshhshh,tertawa
hkm,hukum
hkmnya,hukumnya
hkum,hukum
hlg,hilang
hlm,halaman
hlmn,halangi
hlng,hilang
hloo,menyapa
hm,menggeram
hmare,kami
hmm,menggeram
hmmm,berpikir
hmmmm,marah
hmmmmmm,berpikir
hmmmmmmmm,marah
hmmz,menggeram
hmpir,hanbok
hmz,rumah
hndak,hendak
hndk,hendak
hngga,hingga
hny,hanya
hnya,hanya
hoaalaah,terkejut
hoak,hoax
hoaker,hoax
hoakers,hoax
hoam,menggeram
hoaxer,hoax
hoaxs,hoax
hoaz,hoax
hobby,hobi
hobinya,hobi
hoddie,jaket
hohoho,kalem
hokiii,hoki
hola,menyapa
holders,pemegang
holiday,liburan
holiganisme,hooliganisme
holiwud,hollywood
homan,human
home,rumah
homme,home
homok,homo
homor,humor
honest,jujur
honestly,sejujurnya
honey,sayang
hongkok,jongkok
hoo,kecewa
hoodie,jaket
hoodienya,jaket
hooh,aneh
hook,ya
hoon,saya
hoooo,ketidakpercaya
hooy,memanggil
hopefully,harap
hopeless,putus asa
horang,orang
horee,senang
horeinaja,bahagia
hori,hori
hormatin,hormati
horror,seram
hoshi,bintang
host,tuan rumah
hot,seksi
hota,akan
hotak,botak
hote,hotel
hotels,hotel
hotnya,seksi
hottrending,tren
hottrendingsongs,tren
hotx,hotnya
houm,rumah
house,rumah
how,bagaimana
howe,menangis
hp,hp
hpus,hapuskan
hqhqhqhqhqh,ketawa
hqq,hakiki
hr,hari
hrane,makanan
hrapan,hard cover
hrata,rata
hrg,harga
hrgai,harga
hrgny,harga
hri,hari
hrp,harapan
hrs,harus
hrsny,seharusnya
hrsnya,seharusnya
hrufny,hurufnya
hrus,harus
hrusnya,hasan
hrz,harus
hsgshsh,aneh
hshdhshshshd,tidak jelas
hshshs,ga jelas
hshshshjsjs,tertawa
hsl,hasil
hslnya,hasil
ht,hati
hti,hati hati
html,html
htrz,benci
hu,nangis
hua,wah
huah,wah
huahahaha,tertawa
huahhhh,menangis
huahuahua,tertawa
huakbar,allahu akbar
huargh,marah
hub,menghubungi
hubahahaha,tertawa
hubngan,hubungan
hubunggi,hubungi
hubungi,menghubungi
hubungin,hubungkan
huchu,hucu
hueee,menangis
huehehe,ketawa
huehue,lucu
huehuehuehue,malu
huekekekek,hue
hueww,menghela
huf,duh
huff,mengeluh
huffff,menghela
huft,duh
huhahahhahahaa,tertawa
huhh,kesal
huhu,sedih
huhuhu,kesal
huhuhuhu,kesal
huhuhuu,sedih
huhuhuuu,menangis
huhuu,sedih
huish,mengusir
hujaaza,hujan
hujatann,hujatan
hujui,tidak tahu
hukim,hukum
hukm,hukum
hukumanny,hukumannya
hum,rumah
human,manusia
humbel,ramah
humble,ramah
hume,mendengar
humoris,lucu
humornya,candaan
hums,rumah
humz,rumah
hunter,pemburu
hunting,buru
huntting,memburu
hurts,pedih
huru,kehuru-haraan
huruhara,huru hara
hurup,huruf
husdudzon,husnudzan
huskyhari,rambut
husnudzon,husnudzan
husnuzon,husnuzan
huss,hus
hustle,ramai
hutte,pondok
huu,hu
huuft,duh
huum,ya
huwallohu,allahu
hv,punya
hwauhahua,menangis
hwhw,heran
hwhwhw,sindir
hx,hak
hxusdhusehsuww,aneh
hy,hanya
hybe,kesenangan
hydr,dehidrasi
hydralive,pola hidup
hydro,hydrococo
hype,terkenal
hypebeast,buas
hyunk,hyung
hyunsuk,choihynsuk
I did,saya
iaa,ya
iah,ya
ianya,dianya
ibfparty,acara
ibliss,iblis
ibu hamil,ibunda
ibuang,dibuang
ibuk,ibunda
ibuknyaa,ibunda
ibukota,ibu kota
ibulagi,ibu lagi
ibun,ibunda
ibuuu,ibunda
icandothisallday,harapan
icanxlove,i can love
ice,es
ich,heran
ici,isi
icip,cicip
iconic,ikon
icovidkan,covid
idak,tidak
idamann,idaman
idc,cuek
idea,ide
idelete,haqqul
idenya,ide
idih,jijik
idk,gatau
idol,idola
idolaa,idola
idolanya,idola
idolku,idolaku
idolnya,idolanya
idoolaaa,idola
idr,rupiah
iduk,induk
idung,hidung
idungnya,hidung
idup,hidup
idupin,hidup
idupku,hidupku
idupny,hidup
idupnya,hidupnya
ied,idulfitri
ieu,ini
ig,instagram
igat,ingat
igdaf,seharusnya
igku,instagram
ignore,menolak
ignya,instagram
igo,instagram
igs,igstory
igsmangkanya,igs
igsnya,igstory
igstorynya,igstory
igtlah,ingatlah
igtv,igtv
ihh,heran
ihhh,heran
ihhhh,heran
ihhhhh,heran
ihiii,menyegir
ihklas,ikhlas
ihlas,ikhlas
ii,heran
iih,heran
iihh,heran
iiih,heran
iiihh,heran
iiihhhhh,heran
iiii,heran
iiiihhhhhj,heran
iiiiiiiii,heran
iium,itu
ija,iyak
ijap,ijab
ijasah,ijazah
ijin,izin
ijinin,izinkan
ijinkan,izinkan
ijo,tokopedia
ijp,imbal
ika,ikatancinta
ikatan,ikatancinta
ikeafurniture,ikea
iket,ikat
ikhlass,ikhlas
iki,ini
ikin,iklan
ikit,ikut
iklan,iklan
iklannya,iklan
iklas,ikhlas
ikm,inflasi
ikoan,itu
ikon,lambang
ikottttt,ikut
ikt,ikut
iku,ikut
ikuta,ikutan
ikutikutan,ikut ikutan
ikutin,ikuti
ikutt,ikut
ila,hilang
ilah,heran
ilang,hilang
ilangin,hilang
